player_id,card_minutes,yellow_cards,red_cards,behavior_cards,foul_cards,right_wing,right_center_forward,right_midfield,right_center_midfield,right_wing_back,right_back,center_defensive_midfield,right_defensive_midfield,right_center_back,left_back,left_center_back,center_back,left_center_midfield,left_defensive_midfield,center_forward,center_attacking_midfield,left_wing,left_wing_back,left_midfield,left_center_forward,goalkeeper,left_attacking_midfield,right_attacking_midfield,center_midfield,secondary_striker
31566,[28],1,0,0,1,1,0,0,6,0,0,7,2,0,1,0,0,9,0,1,5,4,0,0,0,0,0,0,2,0
31567,[],0,0,0,0,0,0,0,0,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31568,"[24, 65, 66, 22]",4,0,0,4,0,0,0,0,0,0,0,0,4,21,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0
33010,[62],1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,3,0,0,0,0,0
42832,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42833,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50230,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6821,"[35, 41, 37]",3,0,1,2,4,0,11,1,3,6,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0
20150,[57],1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20169,"[68, 78, 66, 65, 81, 82, 84, 53, 54, 90, 37, 51, 48, 52, 55, 43, 48]",15,1,0,17,6,0,0,47,0,0,19,0,1,0,1,0,53,2,2,0,13,1,1,2,0,0,0,0,0
24683,"[69, 78]",2,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0
25943,"[88, 25, 30, 85]",3,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
25946,[70],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
25952,"[89, 55]",2,0,1,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25954,[],0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
25960,"[81, 23, 93, 94, 84]",4,1,3,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0
26015,[25],1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26018,[49],1,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5558,"[29, 68, 62, 92, 55, 21, 88, 38, 43, 33, 58, 69, 91, 40, 88, 39, 38, 69, 66, 21, 62, 62, 77, 55, 88]",21,1,2,23,0,0,0,0,0,3,18,1,59,0,28,1,2,3,1,0,1,0,0,0,0,0,0,1,0
5987,[36],1,0,0,1,11,2,0,3,1,1,0,0,0,0,0,0,3,0,4,0,8,0,0,1,0,0,0,0,0
11270,"[82, 42, 60, 41]",3,0,0,4,2,2,0,8,0,0,4,0,0,1,0,0,23,0,14,0,6,0,0,0,0,0,0,0,0
15071,"[38, 56]",2,0,0,2,0,0,0,0,0,1,0,0,28,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15516,"[63, 63, 54, 69, 56, 90, 50]",7,0,1,6,3,10,0,2,0,0,0,0,0,0,1,0,2,0,30,0,53,0,0,28,0,0,0,0,0
20131,"[77, 48, 26, 31, 5, 93, 92, 62, 57, 9, 71, 25, 77, 92, 73, 41, 75, 92, 21, 28, 91]",20,0,12,9,0,0,4,166,4,0,30,2,1,0,1,0,106,4,1,2,2,1,0,0,0,0,0,0,0
20176,"[89, 85, 68, 33, 18, 85, 81, 41, 93, 93, 19, 93, 35, 58, 30, 94, 94, 91, 70, 85, 80, 21, 23]",22,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0
20177,"[65, 77, 35, 23, 76, 63, 46, 77, 33, 92]",9,1,0,10,0,0,0,0,0,0,1,0,2,87,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0
25873,"[13, 45, 65, 82, 87]",4,0,1,4,1,0,0,1,0,30,2,0,12,2,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25879,"[81, 30, 40, 32, 77, 35, 35, 68, 94, 37, 46]",10,1,3,8,1,0,0,1,0,0,1,0,0,0,0,0,1,0,7,1,59,0,2,1,0,0,0,0,0
25910,"[62, 92, 57, 80, 62, 38, 3, 23, 77, 21, 90]",10,0,1,10,0,0,0,1,0,1,35,0,3,2,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0
25919,"[18, 76, 32, 33, 57, 34, 6, 91]",7,1,0,8,0,0,0,0,0,0,0,0,2,0,44,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3023,[28],1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
5560,"[7, 39]",2,0,0,2,6,1,0,2,0,0,1,0,0,0,0,0,0,0,7,4,4,0,0,2,0,0,0,0,0
6605,[79],1,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6665,"[43, 34, 36]",3,0,0,3,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6669,"[68, 89]",2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0
6671,"[49, 43, 24, 79, 63]",5,0,0,5,0,0,0,4,0,0,2,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0
6673,"[68, 53, 48]",3,0,0,3,4,0,2,3,0,0,0,0,0,0,0,0,2,1,0,5,3,0,0,1,0,0,0,0,0
6685,"[80, 84]",2,0,1,1,6,2,1,0,0,1,0,0,0,0,0,0,1,0,4,0,9,0,2,0,0,0,0,0,0
6690,[34],1,0,0,1,8,1,2,1,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,0,0,0,0,0
6693,[42],1,0,0,1,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6694,[62],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
